[2025-08-27 16:49:29,899] [INFO] : [WebPageSearcher.cpp:45:doQuery] skip word not in index: 你
[2025-08-27 16:52:54,621] [INFO] : [WebPageSearcher.cpp:45:doQuery] skip word not in index: 你
[2025-08-27 16:54:20,257] [INFO] : [WebPageSearcher.cpp:45:doQuery] skip word not in index: 懂
[2025-08-27 16:54:20,258] [INFO] : [WebPageSearcher.cpp:45:doQuery] skip word not in index: 你
[2025-08-27 17:18:59,710] [INFO] : [WebPageSearcher.cpp:45:doQuery] skip word not in index: 人
[2025-08-27 17:19:05,538] [INFO] : [WebPageSearcher.cpp:45:doQuery] skip word not in index: 人工
[2025-08-27 17:20:21,764] [INFO] : [WebPageSearcher.cpp:46:doQuery] skip word not in index: 人工
[2025-08-27 20:09:59,407] [INFO] : [WebPageSearcher.cpp:73:doQuery] skip word not in index: 人工
[2025-08-27 21:19:39,752] [INFO] : [/home/zhang/SearchEngine/src/main.cpp:31:main] Starting SearchEngineServer on 127.0.0.1:8888
[2025-08-27 21:19:39,754] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:22:start] SearchEngineServer start ...
[2025-08-27 21:19:42,884] [INFO] : [/home/zhang/SearchEngine/src/Acceptor.cpp:48:accept] new connection fd=8
[2025-08-27 21:19:42,884] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:213:handleNewConnection] Accepted new connection fd=8
[2025-08-27 21:19:42,885] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:36:onConnection] 127.0.0.1:8888->127.0.0.1:40686 has connected.
[2025-08-27 21:19:52,529] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:84:receive] Received packet length=2
[2025-08-27 21:19:52,529] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:45:onMessage] received msg size=10
[2025-08-27 21:19:52,529] [DEBUG] : [/home/zhang/SearchEngine/src/EventLoop.cpp:252:handleMessage] message from fd=8
[2025-08-27 21:19:53,605] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:94:doTaskThread] Query result sent to client
[2025-08-27 21:19:53,605] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:101:send] send success size=499
[2025-08-27 21:20:05,228] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:57:onClose] 127.0.0.1:8888->127.0.0.1:40686 has closed.
[2025-08-27 21:20:05,229] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:247:handleMessage] connection closed fd=8
[2025-08-27 21:20:29,395] [INFO] : [/home/zhang/SearchEngine/src/Acceptor.cpp:48:accept] new connection fd=8
[2025-08-27 21:20:29,395] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:213:handleNewConnection] Accepted new connection fd=8
[2025-08-27 21:20:29,395] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:36:onConnection] 127.0.0.1:8888->127.0.0.1:33584 has connected.
[2025-08-27 21:20:30,468] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:84:receive] Received packet length=1
[2025-08-27 21:20:30,469] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:45:onMessage] received msg size=9
[2025-08-27 21:20:30,469] [DEBUG] : [/home/zhang/SearchEngine/src/EventLoop.cpp:252:handleMessage] message from fd=8
[2025-08-27 21:20:31,299] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:94:doTaskThread] Query result sent to client
[2025-08-27 21:20:31,299] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:101:send] send success size=25
[2025-08-27 21:20:37,740] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:84:receive] Received packet length=2
[2025-08-27 21:20:37,740] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:45:onMessage] received msg size=10
[2025-08-27 21:20:37,740] [DEBUG] : [/home/zhang/SearchEngine/src/EventLoop.cpp:252:handleMessage] message from fd=8
[2025-08-27 21:20:38,625] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:94:doTaskThread] Query result sent to client
[2025-08-27 21:20:38,625] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:101:send] send success size=493
[2025-08-27 21:22:46,362] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:57:onClose] 127.0.0.1:8888->127.0.0.1:33584 has closed.
[2025-08-27 21:22:46,362] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:247:handleMessage] connection closed fd=8
[2025-08-27 21:22:47,892] [INFO] : [/home/zhang/SearchEngine/src/Acceptor.cpp:48:accept] new connection fd=8
[2025-08-27 21:22:47,892] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:213:handleNewConnection] Accepted new connection fd=8
[2025-08-27 21:22:47,892] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:36:onConnection] 127.0.0.1:8888->127.0.0.1:36724 has connected.
[2025-08-27 21:23:13,336] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:84:receive] Received packet length=1
[2025-08-27 21:23:13,337] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:45:onMessage] received msg size=9
[2025-08-27 21:23:13,337] [DEBUG] : [/home/zhang/SearchEngine/src/EventLoop.cpp:252:handleMessage] message from fd=8
[2025-08-27 21:23:14,117] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:94:doTaskThread] Query result sent to client
[2025-08-27 21:23:14,117] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:101:send] send success size=25
[2025-08-27 21:23:32,523] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:57:onClose] 127.0.0.1:8888->127.0.0.1:36724 has closed.
[2025-08-27 21:23:32,523] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:247:handleMessage] connection closed fd=8
[2025-08-27 21:23:33,493] [INFO] : [/home/zhang/SearchEngine/src/Acceptor.cpp:48:accept] new connection fd=8
[2025-08-27 21:23:33,493] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:213:handleNewConnection] Accepted new connection fd=8
